layout,bot,successes,failures,moves to crewmate,crewmates saved
0,bot3,75,25,45293,167
1,bot3,50,50,40295,130
2,bot3,53,47,32070,141
3,bot3,61,39,42386,143
4,bot3,65,35,43307,145
5,bot3,58,42,40754,154
6,bot3,50,50,29768,135
7,bot3,58,42,34795,139
8,bot3,59,41,33049,141
9,bot3,73,27,48426,161
0,bot4,81,19,21666,168
0,bot5,91,9,21802,187
1,bot4,75,25,22236,166
1,bot5,88,12,19379,184
2,bot4,80,20,19229,171
2,bot5,88,12,19543,181
3,bot4,79,21,17650,172
3,bot5,89,11,20674,185
4,bot4,71,29,19788,154
4,bot5,87,13,20896,184
5,bot4,82,18,20856,173
5,bot5,94,6,22323,192
6,bot4,71,29,16802,156
6,bot5,95,5,21794,192
7,bot4,73,27,20065,160
7,bot5,87,13,22111,182
8,bot4,83,17,21584,172
8,bot5,85,15,27816,182
9,bot4,63,37,18410,136
9,bot5,85,15,20251,179
