layout,bot,successes,failures,moves to crewmate,crewmates saved
0,bot3,82,18,34847,176
0,bot4,91,9,14531,186
0,bot5,81,19,24340,175
1,bot3,78,22,40037,166
1,bot4,90,10,16324,183
1,bot5,79,21,18527,171
2,bot3,86,14,33608,179
2,bot4,92,8,12985,185
2,bot5,75,25,15324,168
3,bot3,89,11,44527,187
3,bot4,94,6,16908,192
3,bot5,80,20,20869,170
4,bot3,87,13,30688,184
4,bot4,91,9,13445,190
4,bot5,88,12,16800,182
5,bot3,91,9,37754,189
5,bot4,91,9,14718,184
5,bot5,72,28,14795,155
6,bot3,80,20,31770,175
6,bot4,90,10,15207,184
6,bot5,74,26,14910,163
7,bot3,90,10,31599,187
7,bot4,93,7,15305,189
7,bot5,80,20,16389,168
8,bot3,77,23,48940,176
8,bot4,93,7,17085,190
8,bot5,74,26,19076,158
9,bot3,87,13,38908,183
9,bot4,93,7,16570,188
9,bot5,69,31,11538,143
