layout,bot,successes,failures,moves to crewmate,crewmates saved
0,bot3,59,41,72319,135
1,bot3,56,44,66687,140
2,bot3,54,46,43167,128
3,bot3,57,43,64879,136
4,bot3,71,29,67663,160
5,bot3,59,41,72531,144
6,bot3,56,44,76166,130
7,bot3,61,39,44059,136
8,bot3,61,39,73643,138
9,bot3,69,31,85470,154
0,bot4,75,25,13246,157
0,bot5,89,11,22842,184
1,bot4,80,20,13483,174
1,bot5,90,10,17132,187
2,bot4,79,21,14643,169
2,bot5,94,6,16223,192
3,bot4,87,13,13729,181
3,bot5,88,12,16063,183
4,bot4,85,15,13493,179
4,bot5,92,8,13373,190
5,bot4,75,25,13081,169
5,bot5,89,11,21404,183
6,bot4,76,24,15071,162
6,bot5,90,10,17876,185
7,bot4,91,9,15801,189
7,bot5,92,8,15287,188
8,bot4,79,21,15761,171
8,bot5,87,13,20501,180
9,bot4,76,24,14240,166
9,bot5,92,8,17662,190
