layout,bot,successes,failures,moves to crewmate,crewmates saved
0,bot3,33,67,44560,113
0,bot4,58,42,34368,144
0,bot5,72,28,18014,160
1,bot3,35,65,47716,114
1,bot4,41,59,50202,119
1,bot5,76,24,25094,165
2,bot3,23,77,36071,105
2,bot4,61,39,37549,140
2,bot5,64,36,21330,151
3,bot3,38,62,97067,129
3,bot4,56,44,79599,147
3,bot5,66,34,15999,151
4,bot3,10,90,14141,88
4,bot4,47,53,60832,121
4,bot5,75,25,21107,163
5,bot3,17,83,82182,104
5,bot4,63,37,76100,155
5,bot5,59,41,20848,137
6,bot3,47,53,51304,140
6,bot4,73,27,79255,169
6,bot5,72,28,17274,156
7,bot3,23,77,51078,113
7,bot4,51,49,67344,143
7,bot5,69,31,20744,157
8,bot3,34,66,40085,119
8,bot4,38,62,76651,125
8,bot5,84,16,20763,180
9,bot3,41,59,66187,123
9,bot4,37,63,19998,121
9,bot5,81,19,22907,172
