layout,bot,successes,failures,moves to crewmate,crewmates saved
0,bot3,22,78,19921,108
0,bot4,47,53,19756,130
0,bot5,81,19,21449,173
1,bot3,29,71,37152,97
1,bot4,33,67,30070,93
1,bot5,92,8,22026,188
2,bot3,10,90,6675,90
2,bot4,29,71,36597,107
2,bot5,81,19,27250,173
3,bot3,33,67,43439,107
3,bot4,50,50,26783,122
3,bot5,91,9,21487,189
4,bot3,21,79,23923,93
4,bot4,47,53,47230,122
4,bot5,78,22,21268,168
5,bot3,21,79,21420,86
5,bot4,33,67,34347,99
5,bot5,81,19,20109,174
6,bot3,18,82,38723,98
6,bot4,53,47,40448,132
6,bot5,87,13,23481,182
7,bot3,27,73,34210,97
7,bot4,46,54,39452,121
7,bot5,82,18,27694,177
8,bot3,39,61,70648,121
8,bot4,53,47,42250,128
8,bot5,88,12,19748,183
9,bot3,36,64,33768,109
9,bot4,42,58,24893,119
9,bot5,84,16,24221,181
