layout,bot,successes,failures,moves to crewmate,crewmates saved
0,bot3,77,23,35174,170
1,bot3,54,46,28656,139
2,bot3,67,33,26994,159
3,bot3,68,32,31302,166
4,bot3,77,23,32670,174
5,bot3,81,19,32803,180
6,bot3,70,30,29292,154
7,bot3,76,24,31741,173
8,bot3,62,38,31939,144
9,bot3,73,27,28085,167
0,bot4,75,25,13246,157
0,bot5,89,11,22842,184
1,bot4,80,20,13483,174
1,bot5,90,10,17132,187
2,bot4,79,21,14643,169
2,bot5,94,6,16223,192
3,bot4,87,13,13729,181
3,bot5,88,12,16063,183
4,bot4,85,15,13493,179
4,bot5,92,8,13373,190
5,bot4,75,25,13081,169
5,bot5,89,11,21404,183
6,bot4,76,24,15071,162
6,bot5,90,10,17876,185
7,bot4,91,9,15801,189
7,bot5,92,8,15287,188
8,bot4,79,21,15761,171
8,bot5,87,13,20501,180
9,bot4,76,24,14240,166
9,bot5,92,8,17662,190
