layout,bot,successes,failures,moves to crewmate,crewmates saved
0,bot6,57,43,17079,145
0,bot7,66,34,11701,147
0,bot8,73,27,16322,164
1,bot6,54,46,24337,144
1,bot7,68,32,13761,151
1,bot8,73,27,14803,164
2,bot6,58,42,24503,144
2,bot7,73,27,13726,161
2,bot8,74,26,13543,165
3,bot6,49,51,19986,136
3,bot7,54,46,10773,130
3,bot8,69,31,16901,155
4,bot6,50,50,22990,139
4,bot7,56,44,12930,136
4,bot8,67,33,19129,155
5,bot6,57,43,25278,146
5,bot7,65,35,13049,150
5,bot8,66,34,14263,153
6,bot6,39,61,16696,110
6,bot7,39,61,8591,104
6,bot8,71,29,18382,159
7,bot6,68,32,23284,158
7,bot7,70,30,13431,160
7,bot8,80,20,14645,176
8,bot6,62,38,21535,152
8,bot7,72,28,13121,153
8,bot8,78,22,15274,168
9,bot6,54,46,19665,139
9,bot7,58,42,11772,137
9,bot8,74,26,17635,157
