layout,bot,successes,failures,moves to crewmate,crewmates saved
0,bot4,59,41,28715,135
0,bot5,83,17,35363,175
1,bot4,72,28,33931,155
1,bot5,78,22,25916,166
2,bot4,65,35,32067,146
2,bot5,87,13,35022,179
3,bot4,65,35,29688,147
3,bot5,77,23,32112,166
4,bot4,66,34,33780,149
4,bot5,70,30,26108,155
5,bot4,77,23,38027,165
5,bot5,74,26,32009,161
6,bot4,51,49,24945,126
6,bot5,73,27,27496,161
7,bot4,71,29,35743,150
7,bot5,83,17,33047,179
8,bot4,55,45,23105,130
8,bot5,82,18,33484,176
9,bot4,61,39,27371,141
9,bot5,77,23,37049,166
