layout,bot,successes,failures,moves to crewmate,crewmates saved
0,bot4,82,18,13861,172
0,bot5,90,10,20186,184
1,bot4,90,10,16115,187
1,bot5,90,10,19204,187
2,bot4,79,21,15882,162
2,bot5,87,13,18861,180
3,bot4,78,22,16733,164
3,bot5,84,16,18024,182
4,bot4,78,22,16186,166
4,bot5,94,6,16684,193
5,bot4,83,17,19368,172
5,bot5,87,13,22049,181
6,bot4,90,10,18025,190
6,bot5,95,5,23135,195
7,bot4,94,6,17168,192
7,bot5,88,12,20588,180
8,bot4,79,21,15254,166
8,bot5,88,12,17790,183
9,bot4,79,21,15015,171
9,bot5,90,10,20042,188
