dim:,35
suite:,1
k:,3
a:,0.05
layouts:,10
positions:,10
iterations:,10

layout,bot,successes,failures,moves to crewmate,crewmates saved
0,bot1,96,4,9925,96
0,bot2,89,11,10522,89
1,bot1,88,12,7850,88
1,bot2,87,13,9292,87
2,bot1,94,6,9825,94
2,bot2,77,23,18289,77
3,bot1,99,1,9084,99
3,bot2,84,16,12625,84
4,bot1,93,7,9291,93
4,bot2,87,13,8675,87
5,bot1,92,8,8965,92
5,bot2,85,15,9275,85
6,bot1,90,10,8929,90
6,bot2,81,19,12541,81
7,bot1,98,2,8492,98
7,bot2,85,15,11566,85
8,bot1,90,10,8973,90
8,bot2,89,11,8587,89
9,bot1,89,11,9376,89
9,bot2,85,15,13937,85
