dim:,35
suite:,1
k:,3
a:,1
layouts:,10
positions:,10
iterations:,10

layout,bot,successes,failures,moves to crewmate,crewmates saved
0,bot1,44,56,43476,44
0,bot2,69,31,14226,69
1,bot1,49,51,87865,49
1,bot2,74,26,49639,74
2,bot1,35,65,28840,35
2,bot2,67,33,17971,67
