dim:,35
suite:,1
k:,7
a:,0.1
layouts:,10
positions:,10
iterations:,10

layout,bot,successes,failures,moves to crewmate,crewmates saved
0,bot1,86,14,11968,86
0,bot2,91,9,10874,91
1,bot1,95,5,9972,95
1,bot2,96,4,9803,96
2,bot1,79,21,11758,79
2,bot2,87,13,12924,87
3,bot1,85,15,10368,85
3,bot2,90,10,11812,90
4,bot1,86,14,10377,86
4,bot2,93,7,9679,93
5,bot1,85,15,9855,85
5,bot2,86,14,12872,86
6,bot1,87,13,12652,87
6,bot2,93,7,12638,93
7,bot1,82,18,10773,82
7,bot2,97,3,10238,97
8,bot1,89,11,9460,89
8,bot2,99,1,12543,99
9,bot1,94,6,10035,94
9,bot2,95,5,8089,95
