dim:,35
suite:,1
k:,5
a:,0.01
layouts:,10
positions:,10
iterations:,10

layout,bot,successes,failures,moves to crewmate,crewmates saved
0,bot1,85,15,10048,85
0,bot2,94,6,12544,94
1,bot1,77,23,10690,77
1,bot2,91,9,13682,91
2,bot1,75,25,12843,75
2,bot2,93,7,13611,93
3,bot1,91,9,14783,91
3,bot2,89,11,15808,89
4,bot1,90,10,12337,90
4,bot2,95,5,13844,95
5,bot1,95,5,13072,95
5,bot2,94,6,15006,94
6,bot1,87,13,13677,87
6,bot2,89,11,12564,89
7,bot1,95,5,16010,95
7,bot2,92,8,13136,92
8,bot1,83,17,12884,83
8,bot2,91,9,13689,91
9,bot1,85,15,14388,85
9,bot2,96,4,16207,96
