dim:,35
suite:,1
k:,3
a:,0.1
layouts:,10
positions:,10
iterations:,10

layout,bot,successes,failures,moves to crewmate,crewmates saved
0,bot1,93,7,9216,93
0,bot2,80,20,13154,80
1,bot1,95,5,9323,95
1,bot2,89,11,8880,89
2,bot1,95,5,8217,95
2,bot2,89,11,9309,89
3,bot1,91,9,7744,91
3,bot2,84,16,9151,84
4,bot1,98,2,9262,98
4,bot2,87,13,9529,87
5,bot1,91,9,8640,91
5,bot2,76,24,9432,76
6,bot1,90,10,8559,90
6,bot2,94,6,8042,94
7,bot1,89,11,10229,89
7,bot2,87,13,10185,87
8,bot1,93,7,8286,93
8,bot2,86,14,8582,86
9,bot1,88,12,9646,88
9,bot2,88,12,14377,88
