dim:,35
suite:,1
k:,7
a:,0.05
layouts:,10
positions:,10
iterations:,10

layout,bot,successes,failures,moves to crewmate,crewmates saved
0,bot1,88,12,12235,88
0,bot2,92,8,15967,92
1,bot1,80,20,10447,80
1,bot2,91,9,10844,91
2,bot1,91,9,10319,91
2,bot2,95,5,12083,95
3,bot1,86,14,11308,86
3,bot2,95,5,10677,95
4,bot1,89,11,14060,89
4,bot2,92,8,14291,92
5,bot1,90,10,8872,90
5,bot2,94,6,10860,94
6,bot1,88,12,10151,88
6,bot2,95,5,10419,95
7,bot1,85,15,12388,85
7,bot2,94,6,20074,94
8,bot1,91,9,11289,91
8,bot2,95,5,12512,95
9,bot1,91,9,11102,91
9,bot2,95,5,12190,95
