dim:,35
suite:,1
k:,7
a:,0.5
layouts:,10
positions:,10
iterations:,10

layout,bot,successes,failures,moves to crewmate,crewmates saved
0,bot1,63,37,30156,63
0,bot2,92,8,19306,92
1,bot1,63,37,26307,63
1,bot2,93,7,18514,93
2,bot1,53,47,22626,53
2,bot2,83,17,16662,83
3,bot1,47,53,25117,47
3,bot2,85,15,20981,85
4,bot1,67,33,16617,67
4,bot2,94,6,11756,94
5,bot1,72,28,18465,72
5,bot2,95,5,12586,95
6,bot1,40,60,50871,40
6,bot2,88,12,18868,88
7,bot1,52,48,22515,52
7,bot2,88,12,20760,88
8,bot1,53,47,12350,53
8,bot2,93,7,11574,93
9,bot1,49,51,36784,49
9,bot2,95,5,14672,95
