dim:,35
suite:,1
k:,10
a:,0.05
layouts:,10
positions:,10
iterations:,10

layout,bot,successes,failures,moves to crewmate,crewmates saved
0,bot1,80,20,11380,80
0,bot2,92,8,13637,92
1,bot1,86,14,11014,86
1,bot2,97,3,17001,97
2,bot1,90,10,14050,90
2,bot2,96,4,13575,96
3,bot1,86,14,11144,86
3,bot2,94,6,10594,94
4,bot1,86,14,12205,86
4,bot2,94,6,13739,94
5,bot1,85,15,13096,85
5,bot2,90,10,15455,90
6,bot1,90,10,12470,90
6,bot2,91,9,11052,91
7,bot1,94,6,12230,94
7,bot2,95,5,10172,95
8,bot1,87,13,9994,87
8,bot2,96,4,10525,96
9,bot1,80,20,13311,80
9,bot2,89,11,11688,89
