dim:,35
suite:,1
k:,3
a:,0.5
layouts:,10
positions:,10
iterations:,10

layout,bot,successes,failures,moves to crewmate,crewmates saved
0,bot1,55,45,26810,55
0,bot2,80,20,12681,80
1,bot1,55,45,72353,55
1,bot2,71,29,10775,71
2,bot1,55,45,34059,55
2,bot2,82,18,13859,82
3,bot1,64,36,35215,64
3,bot2,86,14,14686,86
4,bot1,48,52,26637,48
4,bot2,91,9,18251,91
5,bot1,54,46,113538,54
5,bot2,83,17,12954,83
6,bot1,69,31,45764,69
6,bot2,93,7,14013,93
7,bot1,59,41,53832,59
7,bot2,80,20,12564,80
8,bot1,64,36,18418,64
8,bot2,69,31,13310,69
9,bot1,42,58,58052,42
9,bot2,85,15,20695,85
