dim:,35
suite:,1
k:,10
a:,0.5
layouts:,10
positions:,10
iterations:,10

layout,bot,successes,failures,moves to crewmate,crewmates saved
0,bot1,46,54,34425,46
0,bot2,90,10,29033,90
1,bot1,71,29,22471,71
1,bot2,91,9,12985,91
2,bot1,50,50,33259,50
2,bot2,94,6,13976,94
3,bot1,73,27,23993,73
3,bot2,90,10,12562,90
4,bot1,59,41,39053,59
4,bot2,94,6,15182,94
5,bot1,64,36,17230,64
5,bot2,98,2,12560,98
6,bot1,59,41,40594,59
6,bot2,92,8,10315,92
7,bot1,56,44,48519,56
7,bot2,91,9,15296,91
8,bot1,68,32,37488,68
8,bot2,89,11,12882,89
9,bot1,53,47,31067,53
9,bot2,92,8,17504,92
