dim:,35
suite:,1
k:,5
a:,1
layouts:,10
positions:,10
iterations:,10

layout,bot,successes,failures,moves to crewmate,crewmates saved
0,bot1,41,59,23830,41
0,bot2,87,13,21391,87
1,bot1,40,60,11415,40
1,bot2,88,12,27646,88
2,bot1,45,55,64383,45
2,bot2,82,18,19399,82
3,bot1,49,51,25368,49
3,bot2,90,10,23349,90
4,bot1,39,61,30890,39
4,bot2,84,16,25301,84
5,bot1,29,71,22628,29
5,bot2,86,14,21185,86
6,bot1,13,87,18475,13
6,bot2,81,19,21674,81
7,bot1,40,60,27622,40
7,bot2,83,17,24813,83
8,bot1,56,44,42683,56
8,bot2,85,15,25896,85
9,bot1,30,70,11369,30
9,bot2,86,14,30493,86
