dim:,35
suite:,1
k:,10
a:,0.01
layouts:,10
positions:,10
iterations:,10

layout,bot,successes,failures,moves to crewmate,crewmates saved
0,bot1,81,19,17171,81
0,bot2,90,10,16105,90
1,bot1,75,25,20239,75
1,bot2,80,20,14120,80
2,bot1,89,11,22189,89
2,bot2,98,2,17485,98
3,bot1,88,12,17275,88
3,bot2,97,3,20625,97
4,bot1,76,24,19951,76
4,bot2,87,13,14605,87
5,bot1,81,19,21398,81
5,bot2,89,11,15038,89
6,bot1,81,19,18825,81
6,bot2,94,6,18448,94
7,bot1,76,24,20399,76
7,bot2,91,9,14181,91
8,bot1,71,29,14620,71
8,bot2,95,5,15873,95
9,bot1,81,19,20374,81
9,bot2,88,12,14944,88
