dim:,35
suite:,1
k:,10
a:,0.1
layouts:,10
positions:,10
iterations:,10

layout,bot,successes,failures,moves to crewmate,crewmates saved
0,bot1,82,18,17138,82
0,bot2,92,8,12939,92
1,bot1,87,13,13107,87
1,bot2,93,7,10762,93
2,bot1,83,17,15561,83
2,bot2,90,10,16173,90
3,bot1,77,23,13663,77
3,bot2,98,2,13022,98
4,bot1,82,18,16835,82
4,bot2,97,3,11511,97
5,bot1,78,22,13550,78
5,bot2,94,6,10734,94
6,bot1,91,9,11195,91
6,bot2,98,2,15596,98
7,bot1,90,10,17039,90
7,bot2,98,2,12141,98
8,bot1,82,18,14289,82
8,bot2,91,9,18842,91
9,bot1,87,13,11026,87
9,bot2,97,3,11618,97
