dim:,35
suite:,1
k:,10
a:,0.5
layouts:,10
positions:,10
iterations:,10

layout,bot,successes,failures,moves to crewmate,crewmates saved
0,bot1,56,44,22749,56
0,bot2,90,10,18266,90
1,bot1,78,22,22332,78
1,bot2,93,7,13419,93
2,bot1,49,51,22972,49
2,bot2,96,4,17903,96
3,bot1,68,32,50587,68
3,bot2,93,7,17096,93
4,bot1,61,39,18543,61
4,bot2,87,13,9792,87
5,bot1,50,50,24567,50
5,bot2,89,11,16818,89
6,bot1,45,55,30898,45
6,bot2,88,12,17027,88
7,bot1,53,47,24504,53
7,bot2,91,9,16238,91
8,bot1,70,30,33264,70
8,bot2,96,4,15514,96
9,bot1,76,24,22739,76
9,bot2,88,12,12390,88
