layout,bot,successes,failures,moves to crewmate,crewmates saved
0,bot4,81,19,33223,171
0,bot5,58,42,27425,135
1,bot4,81,19,33724,169
1,bot5,69,31,27807,153
2,bot4,84,16,27378,175
2,bot5,66,34,24054,151
3,bot4,83,17,33641,172
3,bot5,71,29,26258,160
4,bot4,85,15,27653,174
4,bot5,70,30,24286,157
5,bot4,86,14,31033,177
5,bot5,66,34,31252,146
6,bot4,77,23,30904,163
6,bot5,70,30,31082,159
7,bot4,81,19,32180,172
7,bot5,63,37,24866,141
8,bot4,80,20,28068,171
8,bot5,76,24,26097,165
9,bot4,83,17,26829,173
9,bot5,68,32,19803,148
